Date,Season,Place,Name,Distance,Result,firstHalf,secondHalf,1,2,3,sum1,4,5,6,sum2,7,8,9,sum3,10,11,12,sum4,13,14,15,sum5,16,17,18,sum6,19,20,21,sum7,22,23,24,sum8,25,26,27,sum9,28,29,30,sum10,31,32,33,sum11,34,35,36,sum12,37,38,39,sum13,40,41,42,sum14,43,44,45,sum15,46,47,48,sum16,49,50,51,sum17,52,53,54,sum18,55,56,57,sum19,58,59,60,sum20,,,,
07.03.2020,Indoor,Prostìjov,30. Mistrovství Èeské republiky dospìlých v halové lukostøelbì, 18m round,502,252,250,9,9,8,26,9,9,6,24,10,9,7,26,9,7,7,23,10,9,8,27,10,9,7,26,10,9,8,27,9,8,7,24,9,8,7,24,10,9,6,25,9,9,8,26,8,7,6,21,9,9,7,25,9,9,7,25,10,9,9,28,10,9,7,26,10,9,8,27,9,8,7,24,9,8,6,23,10,9,6,25,,,,
29.02.2020,Indoor,Ostrava,Ostravský Pohár - sobota, 18m round,497,241,256,10,8,6,24,9,7,6,22,9,7,7,23,9,8,6,23,9,8,8,25,9,9,8,26,9,8,7,24,10,10,8,28,9,8,7,24,9,7,6,22,8,8,7,23,10,9,8,27,10,10,10,30,9,8,8,25,9,9,9,27,9,8,8,25,8,7,6,21,9,7,7,23,10,10,8,28,10,9,8,27,,,,
16.02.2020,Indoor,Humpolec,Finále I.Ligy muù a Finále Ligy en 2019/2020, 18m round,494,253,241,9,8,7,24,10,9,M,19,10,9,9,28,9,8,7,24,9,8,8,25,10,9,9,28,8,8,7,23,10,8,7,25,10,10,8,28,10,10,9,29,8,7,6,21,8,7,M,15,10,8,7,25,9,7,7,23,9,9,9,27,10,10,8,28,10,9,9,28,9,8,8,25,9,7,6,22,9,9,9,27,,,,
25.01.2020,Indoor,Ostrava,Ostravský Pohár - sobota, 18m round,511,244,267,9,7,M,16,9,7,M,16,9,8,8,25,10,8,8,26,9,8,8,25,10,10,9,29,10,9,9,28,10,10,7,27,9,9,8,26,9,9,8,26,10,10,8,28,9,9,8,26,9,9,8,26,8,7,7,22,10,8,8,26,9,8,8,25,10,9,9,28,10,9,9,28,10,10,9,29,10,10,9,29,,,,
05.01.2020,Indoor,Pøerov,Zimní pohár mìsta Pøerova - V.kolo - Nedìle - FINÁLE, 18m round,494,264,230,10,9,8,27,9,8,8,25,10,8,8,26,10,9,8,27,9,9,7,25,10,10,9,29,10,9,8,27,9,9,7,25,10,9,7,26,9,9,9,27,10,8,M,18,9,7,6,22,8,8,M,16,10,9,8,27,10,9,9,28,10,10,9,29,9,8,8,25,10,7,M,17,9,7,7,23,9,9,7,25,,,,
15.12.2019,Indoor,Pøerov,Zimní pohár mìsta Pøerova - IV.kolo - Nedìle, 18m round,520,253,267,9,9,8,26,10,9,8,27,10,7,7,24,8,7,6,21,9,8,7,24,10,9,8,27,9,8,8,25,10,8,7,25,10,9,9,28,10,8,8,26,10,10,8,28,9,9,9,27,9,9,8,26,10,10,9,29,9,8,6,23,10,9,8,27,10,9,8,27,10,9,7,26,10,9,8,27,10,10,7,27,,,,
08.12.2019,Indoor,Ostrava,Ostravský Pohár - nedìle, 18m round,480,230,250,10,10,M,20,9,8,6,23,10,9,8,27,9,9,8,26,9,8,6,23,9,9,8,26,8,7,M,15,8,8,6,22,9,7,6,22,9,9,8,26,10,10,7,27,10,9,8,27,10,9,M,19,9,9,6,24,10,10,9,29,10,8,7,25,9,8,8,25,9,9,7,25,8,8,7,23,10,8,8,26,,,,
23.11.2019,Indoor,Ostrava,Ostravský Pohár - sobota, 18m round,487,230,257,9,6,M,15,9,8,7,24,10,7,M,17,10,9,9,28,10,8,8,26,8,6,6,20,9,9,6,24,10,9,8,27,10,8,8,26,9,8,6,23,9,8,8,25,8,8,7,23,10,8,8,26,10,10,8,28,10,8,8,26,9,8,8,25,9,8,8,25,10,9,7,26,10,9,8,27,10,9,7,26,,,,
17.11.2019,Indoor,Pøerov,Zimní pohár mìsta Pøerova - II.kolo - Nedìle, 18m round,476,238,238,8,7,M,15,10,8,6,24,8,8,7,23,8,8,8,24,10,9,9,28,10,9,9,28,9,8,7,24,9,7,6,22,9,8,7,24,10,8,8,26,9,9,8,26,10,9,M,19,9,9,8,26,9,8,8,25,9,9,8,26,9,9,8,26,10,7,7,24,10,10,M,20,9,7,7,23,9,8,6,23,,,,
16.03.2019,Indoor,Ostrava,Ostravský Pohár - sobota 11, 18m round,493,251,242,10,9,6,25,10,9,8,27,9,8,7,24,10,8,8,26,8,8,6,22,9,9,8,26,10,8,8,26,9,9,7,25,9,9,8,26,8,8,8,24,9,7,7,23,8,7,7,22,8,8,7,23,10,8,8,26,9,8,7,24,10,8,7,25,9,8,8,25,9,8,7,24,9,9,8,26,9,8,7,24,,,,
09.03.2019,Indoor,Hradec Králové,29. Mistrovství Èeské republiky dospìlých, 18m round,489,241,248,9,9,8,26,10,8,7,25,9,8,8,25,8,8,7,23,10,8,7,25,10,9,M,19,10,9,8,27,8,6,6,20,10,8,7,25,10,9,7,26,9,8,8,25,9,9,7,25,10,9,8,27,9,8,8,25,10,8,8,26,9,8,M,17,9,8,7,24,10,9,8,27,10,9,7,26,10,9,7,26,,,,
02.03.2019,Indoor,Brno,29. Mistrovství ÈR dorostu v halové lukostøelbì, 18m round,501,243,258,9,8,8,25,9,9,8,26,10,9,9,28,9,9,8,26,10,8,8,26,8,8,M,16,9,8,8,25,10,9,9,28,9,9,M,18,10,8,7,25,10,9,9,28,8,8,7,23,10,9,8,27,10,10,7,27,9,9,7,25,10,9,8,27,9,8,7,24,9,9,9,27,9,8,7,24,9,9,8,26,,,,
23.02.2019,Indoor,Ostrava,Ostravský Pohár - sobota 9, 18m round,519,250,269,10,9,8,27,9,9,6,24,8,8,8,24,9,8,7,24,8,8,6,22,10,9,8,27,9,9,8,26,9,8,8,25,10,9,8,27,9,8,7,24,9,9,9,27,8,7,7,22,10,10,9,29,9,9,9,27,10,10,10,30,8,8,8,24,10,10,9,29,10,9,9,28,10,7,7,24,10,10,9,29,,,,
17.02.2019,Indoor,Humpolec,Finále 1.Ligy muù a Finále Ligy en, 18m round,490,243,247,9,7,6,22,10,9,9,28,10,8,7,25,10,9,9,28,9,9,8,26,9,8,7,24,8,7,M,15,9,8,8,25,9,9,7,25,9,8,8,25,9,9,8,26,8,8,7,23,9,8,7,24,9,7,7,23,10,9,7,26,8,7,7,22,10,8,8,26,10,8,8,26,9,8,8,25,10,9,7,26,,,,
10.02.2019,Indoor,Ostrava,Ostravský Pohár - nedìle 7, 18m round,520,261,259,10,9,8,27,8,8,7,23,10,9,9,28,9,9,8,26,10,9,8,27,10,9,7,26,10,8,6,24,9,9,6,24,10,10,10,30,10,9,7,26,9,9,7,25,10,10,8,28,8,8,8,24,10,8,8,26,9,8,7,24,9,9,7,25,10,9,7,26,10,9,9,28,9,9,8,26,10,9,8,27,,,,
